mass	MS_duration	core_mass
0.946019	13700	0.109261
0.949948	13700	0.121826
0.947327	13700	0.113438
0.948637	13700	0.117626
0.951262	13700	0.126037
0.952577	13700	0.130259
0.956533	13700	0.14299
0.953894	13700	0.134492
0.955213	13700	0.138735
0.957856	13700	0.146953
0.95918	13700	0.149949
0.960506	13700	0.153334
0.963163	13700	0.161735
0.961834	13700	0.157211
0.964495	13700	0.167138
0.965828	13700	0.173802
0.967164	13700	0.182407
0.968501	13700	0.19435
0.96984	13700	0.213235
0.971181	13700	0.254426
0.973868	13700	0.501964
0.972523	13700	0.482954
0.975214	13700	-nan
0.976562	13700	-nan
0.979264	13700	-nan
0.977913	13700	-nan
0.980618	13700	-nan
0.983332	13700	-nan
0.981974	13700	-nan
0.984691	13700	-nan
0.986052	13700	-nan
0.987416	13700	-nan
0.988781	13700	-nan
0.990148	13700	-nan
0.991517	13700	-nan
0.992887	13700	-nan
0.99426	13700	-nan
0.995635	13700	-nan
0.997011	13700	-nan
0.998389	13700	-nan
0.99977	13700	-nan
1.00115	13700	-nan
1.00254	13700	-nan
1.00392	13700	-nan
1.00531	13700	-nan
1.0067	13700	-nan
1.00949	13700	-nan
1.00809	13700	-nan
1.01088	13700	-nan
1.01228	13700	-nan
1.01368	13700	-nan
1.01508	13700	-nan
1.01648	13700	-nan
1.01789	13700	-nan
1.0193	13700	-nan
1.0207	13700	-nan
1.02212	13700	-nan
1.02353	13700	-nan
1.02494	13700	-nan
1.02636	13700	-nan
1.02778	13700	-nan
1.0292	13700	-nan
1.03062	13700	-nan
1.03205	13700	-nan
1.03348	13700	-nan
1.0349	13700	-nan
1.03633	13700	-nan
1.03777	13700	-nan
1.0392	13700	-nan
1.04064	13700	-nan
1.04208	13700	-nan
1.04352	13700	-nan
1.04641	13700	-nan
1.04496	13700	-nan
1.04785	13700	-nan
1.0493	13700	-nan
1.05075	13700	-nan
1.0522	13700	-nan
1.05512	13700	-nan
1.05366	13700	-nan
1.05657	13700	-nan
1.05803	13700	-nan
1.0595	13700	-nan
1.06096	13700	-nan
1.06243	13700	-nan
1.0639	13700	-nan
1.06537	13700	-nan
1.06684	13700	-nan
1.06832	13700	-nan
1.06979	13700	-nan
1.07127	13700	-nan
1.07424	13700	-nan
1.07275	13700	-nan
1.07572	13700	-nan
1.07721	13700	-nan
1.0787	13700	-nan
1.08019	13700	-nan
1.08318	13700	-nan
1.08168	13700	-nan
1.08468	13700	-nan
1.08618	13700	-nan
1.08768	13700	-nan
1.08918	13700	-nan
1.09069	13700	-nan
1.09219	13700	-nan
1.0937	13700	-nan
1.09522	13700	-nan
1.09673	13700	-nan
1.09825	13700	-nan
1.09977	13700	-nan
1.10129	13700	-nan
1.10281	13700	-nan
1.10433	13700	-nan
1.10586	13700	-nan
1.10739	13700	-nan
1.10892	13700	-nan
1.11199	13700	-nan
1.11045	13700	-nan
1.11353	13700	-nan
1.11506	13700	-nan
1.11661	13700	-nan
1.11815	13700	-nan
1.1197	13700	-nan
1.12124	13700	-nan
1.12279	13700	-nan
1.12435	13700	-nan
1.1259	13700	-nan
1.12746	13700	-nan
1.12902	13700	-nan
1.13058	13700	-nan
1.13214	13700	-nan
1.1337	13700	-nan
1.13527	13700	-nan
1.13684	13700	-nan
1.13841	13700	-nan
1.13999	13700	-nan
1.14156	13700	-nan
1.14314	13700	-nan
1.14472	13700	-nan
1.1463	13700	-nan
