# These are calculated in BinaryResidenceTime_AGN_Disk-ChangeGas.ipynb
# using m1=0.5, m2=0.3
# GW_frequency roughly in the LISA range, from 10^-4 to 1 Hz
# the gw_fdot assumes pure GW-driven inspiral (Peters 1964)
# the drag_fdot assumes no-feedback and the drag is calculated using a
# temperature of T=1e5 for the RSG envelope as representative
# GW_frequency	gw_fdot	drag_fdot
1.000000000000000048e-04 2.018497426062399725e-22 8.031678918481562468e-12
2.000000000000000096e-04 2.563331950021244523e-21 1.274949556426844148e-11
2.999999999999999737e-04 1.133633837562561423e-20 1.670656539028050920e-11
4.000000000000000192e-04 3.255228667205936292e-20 2.023856267078361573e-11
5.000000000000000104e-04 7.377652847929335385e-20 2.348477162527041378e-11
5.999999999999999474e-04 1.439625237034845524e-19 2.652001947530679194e-11
6.999999999999999929e-04 2.533500610801884621e-19 2.939036852747070454e-11
8.000000000000000383e-04 4.133882728575792710e-19 3.212671567392624341e-11
8.999999999999999754e-04 6.366744198300962071e-19 3.475105640708130450e-11
1.000000000000000021e-03 9.369035113487365473e-19 3.727975118318717080e-11
1.100000000000000066e-03 1.328825781323176083e-18 3.972538624690695730e-11
1.199999999999999895e-03 1.828210092567265678e-18 4.209790681331913506e-11
1.299999999999999940e-03 2.451811955432465226e-18 4.440534411605641805e-11
1.399999999999999986e-03 3.217345227799189690e-18 4.665430191824005015e-11
1.500000000000000031e-03 4.143456812089066580e-18 4.885029354579335470e-11
1.600000000000000077e-03 5.249703833643508013e-18 5.099798225707375945e-11
1.699999999999999905e-03 6.556532903072670399e-18 5.310135696932101907e-11
1.799999999999999951e-03 8.085261150396302505e-18 5.516386349760709329e-11
1.899999999999999996e-03 9.858058781663144615e-18 5.718850440833737416e-11
2.000000000000000042e-03 1.189793295606147347e-17 5.917791624530405062e-11
2.099999999999999870e-03 1.422871281779701573e-17 6.113443012752561881e-11
2.200000000000000133e-03 1.687503554523899465e-17 6.306011991818313071e-11
2.299999999999999961e-03 1.986233330210860054e-17 6.495684096121743653e-11
2.399999999999999790e-03 2.321682099328124869e-17 6.682626156112203679e-11
2.500000000000000052e-03 2.696548474215254542e-17 6.866988881016888755e-11
2.599999999999999881e-03 3.113607101825362408e-17 7.048908996283784964e-11
2.700000000000000143e-03 3.575707635346757280e-17 7.228511026633403475e-11
2.799999999999999972e-03 4.085773759322639274e-17 7.405908794385623157e-11
2.899999999999999800e-03 4.646802263578851825e-17 7.581206687040479148e-11
3.000000000000000062e-03 5.261862161835988219e-17 7.754500736354772711e-11
3.099999999999999891e-03 5.934093851362765102e-17 7.925879542276720494e-11
3.200000000000000153e-03 6.666708310437753828e-17 8.095425068313446293e-11
3.299999999999999982e-03 7.462986330738540974e-17 8.263213329667975226e-11
3.399999999999999811e-03 8.326277782081335034e-17 8.429314991403906414e-11
3.500000000000000073e-03 9.260000907197300096e-17 8.593795890693747055e-11
3.599999999999999901e-03 1.026764164446136280e-16 8.756717494673166762e-11
3.700000000000000164e-03 1.135275297669007423e-16 8.918137303404014324e-11
3.799999999999999992e-03 1.251895430430113712e-16 9.078109205828276388e-11
3.899999999999999821e-03 1.376993084128287947e-16 9.236683795286199835e-11
4.000000000000000083e-03 1.510943303255927394e-16 9.393908650108164219e-11
4.100000000000000346e-03 1.654127599145819744e-16 9.549828583920481219e-11
4.199999999999999740e-03 1.806933895609950503e-16 9.704485869591054688e-11
4.300000000000000003e-03 1.969756476361638685e-16 9.857920440150729429e-11
4.400000000000000265e-03 2.142995934121050397e-16 1.001017006953647237e-10
4.499999999999999660e-03 2.327059121311982430e-16 1.016127053559415976e-10
4.599999999999999922e-03 2.522359102264815511e-16 1.031125576743675918e-10
4.700000000000000185e-03 2.729315106846891641e-16 1.046015797896599388e-10
4.799999999999999580e-03 2.948352485447362153e-16 1.060800779012271419e-10
4.899999999999999842e-03 3.179902665248728311e-16 1.075483433722529757e-10
5.000000000000000104e-03 3.424403107722030150e-16 1.090066537358013696e-10
5.100000000000000366e-03 3.682297267287031516e-16 1.104552736139891471e-10
5.199999999999999761e-03 3.954034551082589762e-16 1.118944555592898547e-10
5.300000000000000024e-03 4.240070279796103258e-16 1.133244408259334634e-10
5.400000000000000286e-03 4.540865649504132645e-16 1.147454600784159798e-10
5.499999999999999681e-03 4.856887694479418602e-16 1.161577340433133611e-10
5.599999999999999943e-03 5.188609250922257731e-16 1.175614741098827923e-10
5.700000000000000205e-03 5.536508921576713159e-16 1.189568828843150553e-10
5.799999999999999600e-03 5.901071041194622823e-16 1.203441547019640812e-10
5.899999999999999863e-03 6.282785642812460384e-16 1.217234761014070544e-10
6.000000000000000125e-03 6.682148424808089677e-16 1.230950262637774329e-10
6.100000000000000387e-03 7.099660718706484408e-16 1.244589774204491845e-10
6.199999999999999782e-03 7.535829457705023098e-16 1.258154952318329558e-10
6.300000000000000044e-03 7.991167145890727465e-16 1.271647391397630009e-10
6.400000000000000307e-03 8.466191828123222484e-16 1.285068626957049736e-10
6.499999999999999702e-03 8.961427060558626222e-16 1.298420138667953064e-10
6.599999999999999964e-03 9.477401881790919549e-16 1.311703353215259222e-10
6.700000000000000226e-03 1.001465078458842069e-15 1.324919646967163897e-10
6.799999999999999621e-03 1.057371368820428528e-15 1.338070348472587755e-10
6.899999999999999883e-03 1.115513591124092475e-15 1.351156740799837041e-10
7.000000000000000146e-03 1.175946814504917887e-15 1.364180063728724488e-10
7.100000000000000408e-03 1.238726642764415849e-15 1.377141515807287218e-10
7.199999999999999803e-03 1.303909211812036638e-15 1.390042256283252180e-10
7.300000000000000065e-03 1.371551187154967381e-15 1.402883406919507341e-10
7.400000000000000328e-03 1.441709761434634428e-15 1.415666053702037593e-10
7.499999999999999722e-03 1.514442652008420072e-15 1.428391248448052525e-10
7.599999999999999985e-03 1.589808098575155527e-15 1.441060010321399919e-10
7.700000000000000247e-03 1.667864860843019718e-15 1.453673327261746436e-10
7.799999999999999642e-03 1.748672216238543441e-15 1.466232157333493617e-10
7.900000000000000772e-03 1.832289957655462049e-15 1.478737429999906147e-10
8.000000000000000167e-03 1.918778391242212054e-15 1.491190047327486832e-10
8.099999999999999561e-03 2.008198334226950310e-15 1.503590885125245472e-10
8.200000000000000691e-03 2.100611112778965105e-15 1.515940794023135332e-10
8.300000000000000086e-03 2.196078559905442639e-15 1.528240600493607750e-10
8.399999999999999481e-03 2.294663013382585417e-15 1.540491107819936652e-10
8.500000000000000611e-03 2.396427313720098684e-15 1.552693097014680609e-10
8.600000000000000006e-03 2.501434802158110864e-15 1.564847327691408420e-10
8.699999999999999400e-03 2.609749318695661466e-15 1.576954538892582050e-10
8.800000000000000530e-03 2.721435200149863829e-15 1.589015449876278034e-10
8.899999999999999925e-03 2.836557278244927451e-15 1.601030760864238176e-10
8.999999999999999320e-03 2.955180877730267975e-15 1.613001153753563865e-10
9.100000000000000450e-03 3.077371814526897059e-15 1.624927292794202064e-10
9.199999999999999845e-03 3.203196393901384896e-15 1.636809825234227360e-10
9.299999999999999239e-03 3.332721408666692926e-15 1.648649381934783536e-10
9.400000000000000369e-03 3.466014137409163194e-15 1.660446577956417370e-10
9.499999999999999764e-03 3.603142342741017895e-15 1.672202013118431603e-10
9.599999999999999159e-03 3.744174269577758530e-15 1.683916272532765403e-10
9.700000000000000289e-03 3.889178643439813846e-15 1.695589927113814468e-10
9.799999999999999684e-03 4.038224668777849670e-15 1.707223534065514524e-10
9.900000000000000813e-03 4.191382027321216421e-15 1.718817637346921477e-10
1.000000000000000021e-02 4.348720876448897699e-15 1.730372768117443452e-10
1.009999999999999960e-02 4.510311847582523312e-15 1.741889445162814506e-10
1.020000000000000073e-02 4.676226044600847212e-15 1.753368175302816866e-10
1.030000000000000013e-02 4.846535042275233576e-15 1.764809453781708884e-10
1.039999999999999952e-02 5.021310884725687206e-15 1.776213764642256722e-10
1.050000000000000065e-02 5.200626083896906783e-15 1.787581581084199278e-10
1.060000000000000005e-02 5.384553618053946056e-15 1.798913365807947415e-10
1.069999999999999944e-02 5.573166930297064070e-15 1.810209571344248778e-10
1.080000000000000057e-02 5.766539927095296641e-15 1.821470640370525448e-10
1.089999999999999997e-02 5.964746976838339656e-15 1.832697006014535042e-10
1.099999999999999936e-02 6.167862908406425509e-15 1.843889092145979539e-10
1.110000000000000049e-02 6.375963009757690154e-15 1.855047313656642143e-10
1.119999999999999989e-02 6.589123026532738118e-15 1.866172076729602006e-10
1.129999999999999928e-02 6.807419160676037071e-15 1.877263779098050505e-10
1.140000000000000041e-02 7.030928069073756203e-15 1.888322810294196355e-10
1.149999999999999981e-02 7.259726862207708404e-15 1.899349551888718629e-10
1.159999999999999920e-02 7.493893102825137512e-15 1.910344377721214877e-10
1.170000000000000033e-02 7.733504804623924626e-15 1.921307654122048906e-10
1.179999999999999973e-02 7.978640430952957913e-15 1.932239740125994981e-10
1.190000000000000085e-02 8.229378893527391365e-15 1.943140987678045278e-10
1.200000000000000025e-02 8.485799551158405200e-15 1.954011741831734188e-10
1.209999999999999964e-02 8.747982208497309319e-15 1.964852340940310873e-10
1.220000000000000077e-02 9.016007114793581206e-15 1.975663116841074139e-10
1.230000000000000017e-02 9.289954962666637904e-15 1.986444395033166637e-10
1.239999999999999956e-02 9.569906886891118009e-15 1.997196494849116093e-10
1.250000000000000069e-02 9.855944463195304522e-15 2.007919729620390084e-10
1.260000000000000009e-02 1.014814970707252445e-14 2.018614406837214307e-10
1.269999999999999948e-02 1.044660507260529485e-14 2.029280828302906906e-10
1.280000000000000061e-02 1.075139345130189968e-14 2.039919290282950378e-10
1.290000000000000001e-02 1.106259817094522248e-14 2.050530083649024136e-10
1.299999999999999940e-02 1.138030299445363909e-14 2.061113494018203756e-10
1.310000000000000053e-02 1.170459211875367072e-14 2.071669801887528013e-10
1.319999999999999993e-02 1.203555017366423807e-14 2.082199282764116717e-10
1.329999999999999932e-02 1.237326222079233487e-14 2.092702207291028050e-10
1.340000000000000045e-02 1.271781375243984973e-14 2.103178841369011285e-10
1.349999999999999985e-02 1.306929069052136891e-14 2.113629446274336852e-10
1.359999999999999924e-02 1.342777938549282424e-14 2.124054278772840763e-10
1.370000000000000037e-02 1.379336661529070092e-14 2.134453591230344693e-10
1.379999999999999977e-02 1.416613958428166597e-14 2.144827631719584846e-10
1.389999999999999916e-02 1.454618592222250571e-14 2.155176644123788145e-10
1.400000000000000029e-02 1.493359368323007527e-14 2.165500868237022687e-10
1.409999999999999969e-02 1.532845134476117057e-14 2.175800539861446006e-10
1.420000000000000082e-02 1.573084780660215837e-14 2.186075890901569023e-10
1.430000000000000021e-02 1.614087238986814376e-14 2.196327149455641926e-10
1.439999999999999961e-02 1.655861483601162122e-14 2.206554539904283731e-10
1.450000000000000074e-02 1.698416530584033023e-14 2.216758282996435914e-10
1.460000000000000013e-02 1.741761437854422685e-14 2.226938595932757718e-10
1.469999999999999953e-02 1.785905305073148627e-14 2.237095692446548727e-10
1.480000000000000066e-02 1.830857273547328373e-14 2.247229782882283709e-10
1.490000000000000005e-02 1.876626526135722139e-14 2.257341074271857737e-10
1.499999999999999944e-02 1.923222287154940114e-14 2.267429770408608513e-10
1.510000000000000057e-02 1.970653822286483087e-14 2.277496071919208960e-10
1.519999999999999997e-02 2.018930438484611386e-14 2.287540176333494708e-10
1.529999999999999936e-02 2.068061483885035486e-14 2.297562278152306604e-10
1.540000000000000049e-02 2.118056347714403375e-14 2.307562568913408996e-10
1.549999999999999989e-02 2.168924460200578352e-14 2.317541237255560037e-10
1.559999999999999928e-02 2.220675292483701587e-14 2.327498468980790117e-10
1.569999999999999868e-02 2.273318356528013565e-14 2.337434447114951740e-10
1.580000000000000154e-02 2.326863205034438199e-14 2.347349351966602638e-10
