# These are calculated in BinaryResidenceTime_AGN_Disk-ChangeGas.ipynb
# using m1=0.5 and m2=0.3Msun
# GW_frequency roughly in the LISA range, from 10^-4 to 1 Hz
# the gw_fdot assumes pure GW-driven inspiral (Peters 1964)
# the drag_fdot assumes no-feedback and the drag is calculated using a
# temperature of 900000 K and density 1e-06 g cm^-3
# for the RSG envelope as representative
#
# GW_frequency	gw_fdot	drag_fdot
#
1.000000000000000048e-04 2.018497426062399725e-22 8.924087687201734617e-13
2.000000000000000096e-04 2.563331950021244523e-21 1.416610618252048896e-12
2.999999999999999737e-04 1.133633837562561423e-20 1.856285043364500842e-12
4.000000000000000192e-04 3.255228667205936292e-20 2.248729185642623477e-12
5.000000000000000104e-04 7.377652847929335385e-20 2.609419069474489926e-12
5.999999999999999474e-04 1.439625237034845524e-19 2.946668830589643235e-12
6.999999999999999929e-04 2.533500610801884621e-19 3.265596503052300235e-12
8.000000000000000383e-04 4.133882728575792710e-19 3.569635074880693039e-12
8.999999999999999754e-04 6.366744198300962071e-19 3.861228489675700321e-12
1.000000000000000021e-03 9.369035113487365473e-19 4.142194575909685375e-12
1.100000000000000066e-03 1.328825781323176083e-18 4.413931805211883068e-12
1.199999999999999895e-03 1.828210092567265678e-18 4.677545201479903717e-12
1.299999999999999940e-03 2.451811955432465226e-18 4.933927124006268224e-12
1.399999999999999986e-03 3.217345227799189690e-18 5.183811324248894012e-12
1.500000000000000031e-03 4.143456812089066580e-18 5.427810393977038962e-12
1.600000000000000077e-03 5.249703833643508013e-18 5.666442473008194777e-12
1.699999999999999905e-03 6.556532903072670399e-18 5.900150774369001850e-12
1.799999999999999951e-03 8.085261150396302505e-18 6.129318166400787604e-12
1.899999999999999996e-03 9.858058781663144615e-18 6.354278267593040765e-12
2.000000000000000042e-03 1.189793295606147347e-17 6.575324027256005266e-12
2.099999999999999870e-03 1.422871281779701573e-17 6.792714458613956569e-12
2.200000000000000133e-03 1.687503554523899465e-17 7.006679990909236387e-12
2.299999999999999961e-03 1.986233330210860054e-17 7.217426773468603162e-12
2.399999999999999790e-03 2.321682099328124869e-17 7.425140173458003370e-12
2.500000000000000052e-03 2.696548474215254542e-17 7.629987645574320121e-12
2.599999999999999881e-03 3.113607101825362408e-17 7.832121106981982934e-12
2.700000000000000143e-03 3.575707635346757280e-17 8.031678918481559237e-12
2.799999999999999972e-03 4.085773759322639274e-17 8.228787549317357807e-12
2.899999999999999800e-03 4.646802263578851825e-17 8.423562985600532208e-12
3.000000000000000062e-03 5.261862161835988219e-17 8.616111929283078636e-12
3.099999999999999891e-03 5.934093851362765102e-17 8.806532824751911301e-12
3.200000000000000153e-03 6.666708310437753828e-17 8.994916742570493907e-12
3.299999999999999982e-03 7.462986330738540974e-17 9.181348144075527670e-12
3.399999999999999811e-03 8.326277782081335034e-17 9.365905546004338665e-12
3.500000000000000073e-03 9.260000907197300096e-17 9.548662100770829164e-12
3.599999999999999901e-03 1.026764164446136280e-16 9.729686105192406257e-12
3.700000000000000164e-03 1.135275297669007423e-16 9.909041448226681864e-12
3.799999999999999992e-03 1.251895430430113712e-16 1.008678800647586104e-11
3.899999999999999821e-03 1.376993084128287947e-16 1.026298199476244372e-11
4.000000000000000083e-03 1.510943303255927394e-16 1.043767627789795970e-11
4.100000000000000346e-03 1.654127599145819744e-16 1.061092064880053253e-11
4.199999999999999740e-03 1.806933895609950503e-16 1.078276207732339320e-11
4.300000000000000003e-03 1.969756476361638685e-16 1.095324493350080904e-11
4.400000000000000265e-03 2.142995934121050397e-16 1.112241118837385729e-11
4.499999999999999660e-03 2.327059121311982430e-16 1.129030059510462034e-11
4.599999999999999922e-03 2.522359102264815511e-16 1.145695085270750841e-11
