# These are calculated in BinaryResidenceTime_AGN_Disk-ChangeGas.ipynb
# asusming m1=m2=1 Msun
# GW_frequency roughly in the LISA range, from 10^-4 to 1 Hz
# the gw_fdot assumes pure GW-driven inspiral (Peters 1964)
# the drag_fdot assumes no-feedback and the drag is calculated using a
# temperature of 1e5 for the RSG envelope as representative
#
#
# GW_frequency	gw_fdot	drag_fdot
1.000000000000000048e-04 9.914944130051235472e-22 1.479447906132601266e-11
2.000000000000000096e-04 1.259119419379940295e-20 2.348477162527041055e-11
2.999999999999999737e-04 5.568457020673409528e-20 3.077375656594434530e-11
4.000000000000000192e-04 1.598981992701844572e-19 3.727975118318717080e-11
5.000000000000000104e-04 3.623934063707417350e-19 4.325931920293608630e-11
5.999999999999999474e-04 7.071499625965339331e-19 4.885029354579334823e-11
6.999999999999999929e-04 1.244466140269173748e-18 5.413752170592556072e-11
8.000000000000000383e-04 2.030580557834492639e-18 5.917791624530403770e-11
8.999999999999999754e-04 3.127371489376891733e-18 6.401199320735815362e-11
1.000000000000000021e-03 4.602109395994036354e-18 6.866988881016886170e-11
1.100000000000000066e-03 6.527248046133339052e-18 7.317478711463040024e-11
1.199999999999999895e-03 8.980244756200086469e-18 7.754500736354770126e-11
1.299999999999999940e-03 1.204340329674171168e-17 8.179534321575867413e-11
1.399999999999999986e-03 1.580373488161673016e-17 8.593795890693745763e-11
1.500000000000000031e-03 2.035283387865627272e-17 8.998301007026593139e-11
1.600000000000000077e-03 2.578676570890117416e-17 9.393908650108162926e-11
1.699999999999999905e-03 3.220596498238909593e-17 9.781353584776290950e-11
1.799999999999999951e-03 3.971514233705785329e-17 1.016127053559415847e-10
1.899999999999999996e-03 4.842319875612734457e-17 1.053421258002247225e-10
2.000000000000000042e-03 5.844314637178934553e-17 1.090066537358013696e-10
2.099999999999999870e-03 6.989203494116323206e-17 1.126105831206170664e-10
2.200000000000000133e-03 8.289088331911548680e-17 1.161577340433133352e-10
2.299999999999999961e-03 9.756461536194936028e-17 1.196515240766495502e-10
2.399999999999999790e-03 1.140419997833913778e-16 1.230950262637773812e-10
2.500000000000000052e-03 1.324555935549290123e-16 1.264910166923975668e-10
2.599999999999999881e-03 1.529416885002005807e-16 1.298420138667952547e-10
2.700000000000000143e-03 1.756402607806185491e-16 1.331503115519340719e-10
2.799999999999999972e-03 2.006949230088393583e-16 1.364180063728724230e-10
2.899999999999999800e-03 2.282528787597058839e-16 1.396470211638012612e-10
3.000000000000000062e-03 2.584648792761038336e-16 1.428391248448052525e-10
3.099999999999999891e-03 2.914851821907823606e-16 1.459959494408844174e-10
3.200000000000000153e-03 3.274715121053376698e-16 1.491190047327486832e-10
3.299999999999999982e-03 3.665850228848457589e-16 1.522096909324096177e-10
3.399999999999999811e-03 4.089902615415635506e-16 1.552693097014680351e-10
3.500000000000000073e-03 4.548551335940455991e-16 1.582990737710103832e-10
3.599999999999999901e-03 5.043508697992993320e-16 1.613001153753563606e-10
3.700000000000000164e-03 5.576519941654621109e-16 1.642734936747010969e-10
3.799999999999999992e-03 6.149362931611339377e-16 1.672202013118431344e-10
3.899999999999999821e-03 6.763847860451448373e-16 1.701411702240779386e-10
4.000000000000000083e-03 7.421816962472787775e-16 1.730372768117443194e-10
4.100000000000000346e-03 8.125144237364800635e-16 1.759093465488968277e-10
4.199999999999999740e-03 8.875735183184053257e-16 1.787581581084198761e-10
4.300000000000000003e-03 9.675526538089567322e-16 1.815844470630309265e-10
4.400000000000000265e-03 1.052648603034697526e-15 1.843889092145979280e-10
4.499999999999999660e-03 1.143061213614902303e-15 1.871722035966767540e-10
4.599999999999999922e-03 1.238993384483449368e-15 1.899349551888718112e-10
4.700000000000000185e-03 1.340651043111866957e-15 1.926777573763264059e-10
4.799999999999999580e-03 1.448243123397701298e-15 1.954011741831733671e-10
4.899999999999999842e-03 1.561981544184911353e-15 1.981057423049859500e-10
5.000000000000000104e-03 1.682081188385332178e-15 2.007919729620389825e-10
5.100000000000000366e-03 1.808759882672379372e-15 2.034603535924391669e-10
5.199999999999999761e-03 1.942238377720088720e-15 2.061113494018203239e-10
5.300000000000000024e-03 2.082740328962374113e-15 2.087454047842736808e-10
5.400000000000000286e-03 2.230492277848982269e-15 2.113629446274336594e-10
5.499999999999999681e-03 2.385723633576142529e-15 2.139643755131295270e-10
5.599999999999999943e-03 2.548666655271267047e-15 2.165500868237021912e-10
5.700000000000000205e-03 2.719556434612284538e-15 2.191204517629460543e-10
5.799999999999999600e-03 2.898630878863415684e-15 2.216758282996435655e-10
5.899999999999999863e-03 3.086130694310226129e-15 2.242165600407918759e-10
6.000000000000000125e-03 3.282299370077766523e-15 2.267429770408607996e-10
6.100000000000000387e-03 3.487383162316605323e-15 2.292553965527536959e-10
6.199999999999999782e-03 3.701631078742321389e-15 2.317541237255559520e-10
6.300000000000000044e-03 3.925294863514885965e-15 2.342394522536373870e-10
6.400000000000000307e-03 4.158628982445039348e-15 2.367116649812161508e-10
6.499999999999999702e-03 4.401890608515508249e-15 2.391710344660878171e-10
6.599999999999999964e-03 4.655339607705524399e-15 2.416178235058615073e-10
6.700000000000000226e-03 4.919238525107655166e-15 2.440522856297265975e-10
6.799999999999999621e-03 5.193852571326615659e-15 2.464746655584865271e-10
6.899999999999999883e-03 5.479449609150147915e-15 2.488851996353441229e-10
7.000000000000000146e-03 5.776300140482589190e-15 2.512841162296934850e-10
7.100000000000000408e-03 6.084677293532223897e-15 2.536716361159706207e-10
7.199999999999999803e-03 6.404856810243871902e-15 2.560479728294326145e-10
7.300000000000000065e-03 6.737117033968690435e-15 2.584133330005701544e-10
7.400000000000000328e-03 7.081738897363349151e-15 2.607679166697119264e-10
7.499999999999999722e-03 7.439005910511336589e-15 2.631119175832445053e-10
7.599999999999999985e-03 7.809204149259273818e-15 2.654455234727538621e-10
7.700000000000000247e-03 8.192622243761535496e-15 2.677689163182823664e-10
7.799999999999999642e-03 8.589551367226786176e-15 2.700822725968017961e-10
7.900000000000000772e-03 9.000285224860244842e-15 2.723857635169093452e-10
8.000000000000000167e-03 9.425120042995783297e-15 2.746795552406754468e-10
8.099999999999999561e-03 9.864354558412321394e-15 2.769638090934991335e-10
8.200000000000000691e-03 1.031829000782899077e-14 2.792386817627573739e-10
8.300000000000000086e-03 1.078723011757396157e-14 2.815043254859774434e-10
8.399999999999999481e-03 1.127148109342201914e-14 2.837608882292034305e-10
8.500000000000000611e-03 1.177135161059602028e-14 2.860085138561787642e-10
8.600000000000000006e-03 1.228715280392768833e-14 2.882473422889191342e-10
8.699999999999999400e-03 1.281919825817347781e-14 2.904775096602099065e-10
8.800000000000000530e-03 1.336780399848107364e-14 2.926991484585215492e-10
8.899999999999999925e-03 1.393328848100261058e-14 2.949123876658018440e-10
8.999999999999999320e-03 1.451597258365073804e-14 2.971173528885706751e-10
9.100000000000000450e-03 1.511617959699361589e-14 2.993141664827144418e-10
9.199999999999999845e-03 1.573423521528533565e-14 3.015029476723479318e-10
9.299999999999999239e-03 1.637046752762834648e-14 3.036838126630872968e-10
9.400000000000000369e-03 1.702520700926433451e-14 3.058568747500540428e-10
9.499999999999999764e-03 1.769878651299043802e-14 3.080222444209082337e-10
9.599999999999999159e-03 1.839154126069777078e-14 3.101800294541908051e-10
9.700000000000000289e-03 1.910380883502902231e-14 3.123303350132324488e-10
9.799999999999999684e-03 1.983592917115232680e-14 3.144732637358756707e-10
9.900000000000000813e-03 2.058824454864875327e-14 3.166089158202353261e-10
